z_mm,outer_radius_mm,inner_radius_mm
65.83333333333334,91.8503173845244,32
66.25,92.18939965646437,32
66.66666666666667,92.52848192840433,32
67.08333333333334,92.8675642003443,32
67.5,93.20664647228428,32
67.91666666666667,93.54572874422425,32
68.33333333333334,93.88481101616422,32
68.75,94.22389328810418,32
69.16666666666667,94.56297556004415,32
69.58333333333334,94.90205783198414,32
70.0,95.2411401039241,32
70.41666666666667,95.58022237586405,32
70.83333333333333,95.91930464780403,32
71.25000000000001,96.258386919744,32
71.66666666666667,96.59746919168397,32
72.08333333333333,96.93655146362394,32
72.50000000000001,97.27563373556391,32
72.91666666666667,97.61471600750387,32
73.33333333333333,97.95379827944384,32
73.75000000000001,98.29288055138383,32
74.16666666666667,98.63196282332379,32
74.58333333333333,98.97104509526375,32
75.00000000000001,99.31012736720373,32
75.41666666666667,99.64920963914369,32
75.83333333333334,99.98829191108366,32
76.25,100.32737418302362,32
76.66666666666667,100.66645645496361,32
77.08333333333334,101.00553872690357,32
77.5,101.34462099884354,32
77.91666666666667,101.68370327078352,32
78.33333333333334,102.02278554272348,32
78.75,102.36186781466344,32
79.16666666666667,102.70095008660343,32
79.58333333333334,103.0400323585434,32
80.0,103.37911463048336,32
80.41666666666667,103.71819690242334,32
80.83333333333334,104.0572791743633,32
81.25,104.39636144630326,32
81.66666666666667,104.73544371824323,32
82.08333333333334,105.07452599018322,32
82.5,105.41360826212318,32
82.91666666666667,105.75269053406313,32
83.33333333333334,106.09177280600312,32
83.75,106.4308550779431,32
84.16666666666667,106.76993734988305,32
84.58333333333334,107.10901962182301,32
85.0,107.448101893763,32
85.41666666666667,107.78718416570295,32
85.83333333333334,108.12626643764293,32
86.25000000000001,108.46534870958288,32
86.66666666666667,108.80443098152287,32
87.08333333333333,109.14351325346283,32
87.50000000000001,109.48259552540279,32
87.91666666666667,109.82167779734279,32
88.33333333333333,110.16076006928274,32
88.75000000000001,110.4998423412227,32
89.16666666666667,110.83892461316266,32
89.58333333333333,111.17800688510265,32
90.00000000000001,111.51708915704262,32
90.41666666666667,111.85617142898258,32
90.83333333333333,112.19525370092256,32
91.25000000000001,112.53433597286252,32
91.66666666666667,112.8734182448025,32
92.08333333333334,113.21250051674245,32
92.50000000000001,113.55158278868244,32
92.91666666666667,113.8906650606224,32
93.33333333333334,114.22974733256235,32
93.75,114.56882960450233,32
94.16666666666667,114.90791187644231,32
94.58333333333334,115.24699414838227,32
95.0,115.58607642032223,32
95.41666666666667,115.92515869226222,32
95.83333333333334,116.26424096420219,32
96.25,116.60332323614215,32
96.66666666666669,116.94240550808213,32
97.08333333333334,117.28148778002209,32
97.5,117.62057005196205,32
97.91666666666669,117.95965232390205,32
98.33333333333334,118.298734595842,32
98.75,118.63781686778196,32
99.16666666666667,118.97689913972192,32
99.58333333333334,119.31598141166191,32
99.999999,119.65506286980442,32
100.0,119.65506368360188,0
100.41666666666667,119.99414595554184,0
100.83333333333334,120.33322822748183,0
101.25,120.67231049942178,0
101.66666666666667,121.01139277136174,0
102.08333333333334,121.35047504330174,0
102.50000000000001,121.6895573152417,0
102.91666666666667,122.02863958718166,0
103.33333333333334,122.36772185912164,0
103.75000000000001,122.7068041310616,0
104.16666666666667,123.04588640300157,0
104.58333333333333,123.38496867494153,0
105.00000000000001,123.72405094688152,0
105.41666666666667,124.06313321882148,0
105.83333333333333,124.40221549076144,0
106.25000000000001,124.74129776270144,0
106.66666666666667,125.0803800346414,0
107.08333333333334,125.41946230658135,0
107.50000000000001,125.75854457852131,0
107.91666666666667,126.0976268504613,0
108.33333333333334,126.43670912240127,0
108.75000000000001,126.77579139434123,0
109.16666666666667,127.11487366628118,0
109.58333333333334,127.45395593822117,0
110.0,127.79303821016114,0
110.41666666666667,128.1321204821011,0
110.83333333333334,128.4712027540411,0
111.25,128.81028502598105,0
111.66666666666667,129.149367297921,0
112.08333333333334,129.48844956986096,0
112.5,129.82753184180095,0
112.91666666666669,130.1666141137409,0
113.33333333333334,130.5056963856809,0
113.75,130.84477865762088,0
114.16666666666669,131.18386092956084,0
114.58333333333334,131.5229432015008,0
115.0,131.86202547344075,0
115.41666666666667,132.20110774538074,0
115.83333333333334,132.5401900173207,0
116.25,132.87927228926065,0
116.66666666666667,133.21835456120064,0
117.08333333333334,133.55743683314063,0
117.50000000000001,133.89651910508059,0
117.91666666666667,134.23560137702054,0
118.33333333333334,134.57468364896053,0
118.75000000000001,134.9137659209005,0
119.16666666666667,135.25284819284045,0
119.58333333333334,135.59193046478043,0
120.00000000000001,135.9310127367204,0
120.41666666666667,136.27009500866035,0
120.83333333333333,136.6091772806003,0
121.25000000000001,136.94825955254032,0
121.66666666666667,137.28734182448028,0
122.08333333333333,137.62642409642024,0
122.50000000000001,137.96550636836022,0
122.91666666666667,138.30458864030018,0
123.33333333333334,138.64367091224014,0
