scenario_id,driver_id,label,sensitivity_only,nominal_band_covers_target,profile,equivalent_throat_diameter_m,mouth_diameter_m,length_m,body_diameter_m,body_length_m,outer_throat_diameter_mm,radial_gap_mm,throat_area_cm2,compression_ratio,ripple_db,mean_spl_db,spl_500_db,spl_6500_db,level_6500_relative_mid_db,max_excursion_mm,max_throat_speed_m_s
lavoce-man061-80,lavoce-man061-80,LaVoce MAN061.80,False,False,exponential,0.052,0.28,0.125,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.2155184876124805,11.455889334720496,105.31290919090478,98.22757506017646,104.68213586393793,-0.3124522816473245,0.04917249109083992,0.6989308144673134
beyma-6mi100,beyma-6mi100,Beyma 6MI100,False,True,os,0.068,0.19,0.3,0.064,0.1,93.38094023943002,14.690470119715005,36.316811075498016,3.8549640195268764,11.46079557218188,101.4587326364097,101.61999419993508,95.03261443551226,-7.767979602146696,0.043973497460501644,0.3838965016813883
bc-6mdn44-8,bc-6mdn44-8,BC 6MDN44,False,False,conical,0.076,0.21,0.125,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.909757962344901,11.464511524358855,100.69001537483715,102.011737426117,92.97383973589668,-9.11156304006694,0.05578353059116573,0.3710187859543131
bc-6mdn44-8,bc-6mdn44-8,BC 6MDN44,False,False,conical,0.047,0.28,0.25,0.064,0.1,79.40403012442127,7.7020150622106325,17.349445429449634,7.608312354234562,11.469314611599245,104.55232401431796,103.46696531437446,96.38725708493197,-10.110504972341147,0.05670295892644348,0.9813389810541473
beyma-6mi100,beyma-6mi100,Beyma 6MI100,False,True,exponential,0.042,0.28,0.15,0.064,0.1,76.55063683601855,6.275318418009275,13.85442360233099,10.10507575186637,11.470590385167952,104.86611169745527,98.097092968135,100.36734127881297,-4.907316440976615,0.03825364628185056,0.89636570471073
bc-6mdn44-8,bc-6mdn44-8,BC 6MDN44,False,False,exponential,0.06,0.245,0.15,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.668544997362264,11.47110686081379,103.1465720481607,101.8445889291568,95.06535194120977,-10.085768204259622,0.05231528905016402,0.563313578363217
celestion-cf0617m-le029,celestion-cf0617m,Celestion CF0617M — Le 0.29 mH sensitivity,True,True,hyperbolic,0.076,0.21,0.2,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,3.393395005480107,11.471714069580031,103.24846748978656,105.18305734830847,95.3857107651165,-9.359020708797019,0.03190157424353453,0.2958998687483484
lavoce-maf061-50,lavoce-maf061-50,LaVoce MAF061.50,False,False,conical,0.042,0.28,0.3,0.064,0.1,76.55063683601855,6.275318418009275,13.85442360233099,9.527642851759719,11.472002702805796,106.63089200591129,101.861348698625,99.81297986222896,-8.034466809649729,0.05441259385356084,1.1924598319853001
lavoce-maf061-50,lavoce-maf061-50,LaVoce MAF061.50,False,False,os,0.06,0.245,0.25,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.668544997362264,11.473299873469784,105.45196189071592,105.67773541459746,97.65444488835794,-10.118111907721769,0.048006743516966946,0.5138760589954183
phl-1120,phl-1120,PHL 1120,False,False,conical,0.052,0.245,0.25,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,7.0630891904687285,11.474177404292902,102.492378812239,104.0869993837798,94.08936796658787,-10.38330306049491,0.05101090678238334,0.8149740261565345
phl-1120ndu,phl-1120ndu,PHL 1120NdU,False,False,conical,0.052,0.245,0.25,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,7.0630891904687285,11.474177404292902,102.492378812239,104.0869993837798,94.08936796658787,-10.38330306049491,0.05101090678238334,0.8149740261565345
