profile,equivalent_throat_diameter_m,mouth_diameter_m,length_m,body_diameter_m,body_length_m,outer_throat_diameter_mm,radial_gap_mm,throat_area_cm2,compression_ratio,ripple_db,mean_spl_db,spl_7000_db,level_7000_relative_mid_db,max_excursion_mm,max_throat_speed_m_s,max_input_power_w
os,0.076,0.18,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,7.940696151767156,103.94236200930825,100.94563354548322,-3.3264308640023046,0.09657628110729634,0.502722907181146,1.4722568384816184
hyperbolic,0.076,0.245,0.25,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,7.958970225679437,105.95921814840648,103.23912435717028,-3.6140793802944984,0.09978176220407937,0.41898894428529887,1.4713572933739651
exponential,0.06,0.18,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,7.996275254784777,104.74748186108964,102.52201648584888,-2.8446586938596994,0.09023701162510803,0.7600350895337621,1.4586974100480352
hyperbolic,0.076,0.18,0.25,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,8.007401031902376,103.96568089659604,100.91553324833237,-3.388235038380941,0.0794839655082086,0.4227252877141933,1.4777578376328224
exponential,0.06,0.28,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.00780676530701,107.56491832742464,105.85208049417193,-2.6849965669973415,0.08895850742655652,0.6074900525130076,1.4576660983647411
hyperbolic,0.076,0.18,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,8.023278052329815,103.97854917510917,100.85229380926366,-3.3576755311549107,0.09499208297115212,0.5031697345039714,1.4738634014662433
exponential,0.06,0.21,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.029173120455013,105.76182067994601,103.84587459296117,-2.542070182494456,0.08070513463027938,0.6956778837263342,1.4590455486090461
conical,0.076,0.32,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,8.03289455081594,106.71304609258371,105.60763227043006,-1.9339485476717186,0.11282494810148627,0.4995780887418699,1.4726486695128185
exponential,0.06,0.21,0.25,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.089057343301732,105.65060913648608,103.87151196400572,-2.3296942367249613,0.09382552370989776,0.6342162882288653,1.4581878515586073
os,0.06,0.21,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,8.16515976636309,105.89267658506574,103.6329482941877,-3.443757557135399,0.0667174377038249,0.6010512475113381,1.4582838407775756
