frequency_hz,mid_pressure_real_pa,mid_pressure_imag_pa,impedance_real_ohm,impedance_imag_ohm,excursion_peak_mm,throat_velocity_rms_m_s,baseline_same_front_rear_db,baseline_original_assumptions_tmm_db,spl_front_0cc_db,spl_front_5cc_db,spl_front_10cc_db,spl_front_20cc_db,spl_front_40cc_db,spl_front_60cc_db
715.7365010248549,-2.136493203085673,0.12658168194437638,5.574314983233473,-0.9708374213045124,0.025284336004986373,0.39763071033421166,106.40284727009058,105.76237698787219,100.18987523926978,100.28819080512976,100.38741754252824,100.58864854754358,101.00252043798413,101.4321402730428
720.4890921322665,-2.122454972639893,0.33776258405917114,5.573463050904433,-0.9466867639155779,0.024775642399028713,0.3930982276753282,106.52608010979841,105.89176193739534,100.21626586055544,100.31695099281272,100.41859128566473,100.62478443797315,101.0491411068739,101.49002670929944
725.2732411135623,-2.088306293453068,0.5492858084371013,5.572920893113021,-0.9226209703348438,0.024273106814102562,0.3885776453235542,106.64731266087566,106.0198311135411,100.2473502797817,100.35045163817506,100.45455371785349,100.66581028685937,101.10087388761994,101.55327329572869
730.0891575174684,-2.0336500846891203,0.7593639940696171,5.572694858000428,-0.8986289002941494,0.023776603869694584,0.38406784154538864,106.76569989558585,106.14578679928113,100.28318751792908,100.38875307897443,100.49536652234275,100.71179054100931,101.15778889592052,101.62195552091491
734.9370522841405,-1.9582240250029106,0.9661212655180811,5.572792760097892,-0.8746996266224664,0.023286020106162156,0.37956775705316564,106.88034777856181,106.26877509918657,100.32383847136472,100.43191749901442,100.54109319322467,100.76279136583757,101.21995765392137,101.69614968107821
739.8171377544099,-1.8619136592656917,1.1675990744672982,5.573223967370314,-0.8508224625149926,0.022801255799849394,0.37507641270092457,106.99032243436021,106.38789235456139,100.36936578092428,100.48000878410475,100.59179887671183,100.81888045170007,101.28745279608509,101.77593242128032
744.7296276790779,-1.744766003916946,1.3617633352903658,5.573999502208741,-0.8269869986243078,0.02232222710603202,0.3705929305997767,107.0946623904964,106.50219443504622,100.41983366802761,100.5330923423658,100.64755017376092,100.88012677448758,101.36034770917837,101.86138017814388
749.6747372282842,-1.6070036192799284,1.5465130031888847,5.575132157451793,-0.8031831519950915,0.021848868590195362,0.3661165593357067,107.19239401091772,106.61070916717338,100.47530773202072,100.59123488257936,100.708414897198,100.94660030233518,101.43871609452448,101.95256850621077
754.6526830009254,-1.4490391059340442,1.7196902609529845,5.576636628614383,-0.7794012292841662,0.021381136218280857,0.3616467040969328,107.2825500418513,106.71245201849365,100.53585470187842,100.65450414314188,100.77446177525736,101.0183716388307,101.52263143853818,102.04957126687356
759.6636830341484,-1.271489967983455,1.8790925004013341,5.578529663582839,-0.7556320072161188,0.02091901088815045,0.3571829626638626,107.36419094915283,106.80644495787355,100.60154213424191,100.72296856291712,100.8457600920722,101.09551159146261,101.61216637515118,102.15245965518109
