z_mm,outer_radius_mm,inner_radius_mm
155.83333333333334,72.62188985692752,0
156.66666666666669,72.77567844226445,0
157.5,72.92946702760136,0
158.33333333333334,73.0832556129383,0
159.16666666666669,73.23704419827521,0
160.0,73.39083278361214,0
160.83333333333334,73.54462136894907,0
161.66666666666669,73.69840995428599,0
162.5,73.8521985396229,0
163.33333333333334,74.00598712495984,0
164.16666666666669,74.15977571029676,0
165.0,74.31356429563368,0
165.83333333333334,74.46735288097062,0
166.66666666666669,74.62114146630753,0
167.5,74.77493005164446,0
168.33333333333334,74.92871863698139,0
169.16666666666669,75.08250722231831,0
170.0,75.23629580765522,0
170.83333333333334,75.39008439299216,0
171.66666666666669,75.54387297832909,0
172.50000000000003,75.697661563666,0
173.33333333333334,75.85145014900293,0
174.16666666666666,76.00523873433986,0
175.00000000000003,76.15902731967678,0
175.83333333333334,76.31281590501371,0
176.66666666666666,76.46660449035063,0
177.50000000000003,76.62039307568756,0
178.33333333333334,76.77418166102449,0
179.16666666666666,76.92797024636141,0
180.00000000000003,77.08175883169834,0
180.83333333333334,77.23554741703525,0
181.66666666666666,77.38933600237219,0
182.50000000000003,77.5431245877091,0
183.33333333333334,77.69691317304603,0
184.16666666666669,77.85070175838297,0
185.00000000000003,78.00449034371988,0
185.83333333333334,78.1582789290568,0
186.66666666666669,78.31206751439373,0
187.5,78.46585609973066,0
188.33333333333334,78.61964468506757,0
189.16666666666669,78.77343327040451,0
190.0,78.92722185574142,0
190.83333333333334,79.08101044107835,0
191.66666666666669,79.23479902641529,0
192.5,79.3885876117522,0
193.33333333333337,79.54237619708913,0
194.16666666666669,79.69616478242605,0
195.0,79.84995336776298,0
195.83333333333337,80.00374195309989,0
196.66666666666669,80.15753053843683,0
197.5,80.31131912377374,0
198.33333333333334,80.46510770911067,0
199.16666666666669,80.6188962944476,0
200.0,80.77268487978452,0
200.83333333333334,80.92647346512145,0
201.66666666666669,81.08026205045837,0
202.5,81.2340506357953,0
203.33333333333334,81.38783922113221,0
204.16666666666669,81.54162780646915,0
205.00000000000003,81.69541639180608,0
205.83333333333334,81.84920497714299,0
206.66666666666669,82.00299356247992,0
207.50000000000003,82.15678214781686,0
208.33333333333334,82.31057073315375,0
209.16666666666666,82.4643593184907,0
210.00000000000003,82.61814790382763,0
210.83333333333334,82.77193648916453,0
211.66666666666666,82.92572507450147,0
212.50000000000003,83.0795136598384,0
213.33333333333334,83.23330224517532,0
214.16666666666669,83.38709083051224,0
215.00000000000003,83.54087941584918,0
215.83333333333334,83.69466800118609,0
216.66666666666669,83.84845658652301,0
217.50000000000003,84.00224517185994,0
218.33333333333334,84.15603375719687,0
219.16666666666669,84.30982234253379,0
220.0,84.46361092787072,0
220.83333333333334,84.61739951320764,0
221.66666666666669,84.77118809854456,0
222.5,84.9249766838815,0
223.33333333333334,85.07876526921841,0
224.16666666666669,85.23255385455533,0
225.0,85.38634243989226,0
225.83333333333337,85.54013102522919,0
226.66666666666669,85.6939196105661,0
227.5,85.84770819590304,0
228.33333333333337,86.00149678123998,0
229.16666666666669,86.15528536657688,0
230.0,86.30907395191382,0
230.83333333333334,86.46286253725073,0
231.66666666666669,86.61665112258765,0
232.5,86.77043970792458,0
233.33333333333334,86.9242282932615,0
234.16666666666669,87.07801687859842,0
235.00000000000003,87.23180546393536,0
235.83333333333334,87.38559404927227,0
236.66666666666669,87.5393826346092,0
237.50000000000003,87.69317121994614,0
238.33333333333334,87.84695980528305,0
239.16666666666669,88.00074839061999,0
240.00000000000003,88.1545369759569,0
240.83333333333334,88.30832556129384,0
241.66666666666666,88.46211414663074,0
242.50000000000003,88.61590273196768,0
243.33333333333334,88.7696913173046,0
244.16666666666666,88.92347990264152,0
245.00000000000003,89.07726848797844,0
245.83333333333334,89.23105707331538,0
246.66666666666669,89.3848456586523,0
247.50000000000003,89.53863424398922,0
248.33333333333334,89.69242282932616,0
249.16666666666669,89.84621141466307,0
250.0,90.0,0
